locationID,0,1,2,3,4,5,6,7,8,9,10,11
120,0.35797852,-0.37608147,-0.3565803,-0.4004267,0.32287675,-0.3614827,-0.40763164,0.32865277,-0.42929122,-0.3714953,0.3445933,-0.35394043
125,0.37624374,-0.38686442,-0.36186394,-0.4306779,0.37701914,-0.38728058,-0.39109427,0.3052238,-0.36098796,-0.33416405,0.3514405,-0.40095562
127,0.3649086,-0.37445375,-0.36408064,-0.36094168,0.36208627,-0.37590632,-0.40508342,0.41022548,-0.38049838,-0.33656347,0.37816104,-0.30936584
128,0.3351664,-0.35404268,-0.35424381,-0.38469914,0.35372186,-0.41492242,-0.3442823,0.3210913,-0.41166952,-0.42781606,0.32279578,-0.41708776
137,0.43126175,-0.364161,-0.4309075,-0.36215365,0.3253961,-0.3264797,-0.3652229,0.41028407,-0.35172862,-0.38609907,0.3454168,-0.4296672
140,0.34692514,-0.35613176,-0.3644902,-0.3474687,0.37153348,-0.40288684,-0.40986124,0.35656306,-0.38910544,-0.3792584,0.35158703,-0.37998164
141,0.40378016,-0.3467987,-0.3635922,-0.33906752,0.4108156,-0.3707768,-0.3320861,0.39993724,-0.32837585,-0.36704537,0.33121675,-0.32580024
142,0.35810262,-0.32829383,-0.34876785,-0.34901908,0.36177734,-0.33160415,-0.34804967,0.35958597,-0.40524787,-0.37756625,0.42075935,-0.40746105
143,0.36877346,-0.34119585,-0.37321153,-0.36887026,0.4208074,-0.3098397,-0.3911411,0.38896123,-0.33453918,-0.331161,0.42635334,-0.39043862
144,0.39314193,-0.39627558,-0.42623645,-0.38060033,0.3131117,-0.42476577,-0.35290048,0.35736144,-0.40187147,-0.3781971,0.31529406,-0.36486793
148,0.43603837,-0.38159993,-0.3372402,-0.37081933,0.3555688,-0.39278683,-0.3511934,0.37935242,-0.34135598,-0.3833385,0.38958552,-0.35807297
151,0.40231326,-0.32562178,-0.3641862,-0.36789548,0.39532676,-0.351442,-0.36855197,0.3444671,-0.3781757,-0.3993043,0.37201044,-0.36564758
152,0.37082955,-0.40098336,-0.4332839,-0.42955735,0.32052824,-0.33647388,-0.32188606,0.38417047,-0.4193313,-0.35359964,0.334938,-0.38917327
158,0.37118107,-0.40334004,-0.3759873,-0.43003127,0.33952713,-0.37215123,-0.35854825,0.35327715,-0.363771,-0.36853194,0.39029846,-0.38766232
161,0.34182215,-0.34316283,-0.3593672,-0.3475112,0.3015268,-0.36269638,-0.41017827,0.4205843,-0.33157915,-0.41220045,0.39459404,-0.360213
162,0.38971388,-0.37952605,-0.39302987,-0.36330938,0.32015023,-0.44019356,-0.35617337,0.33206555,-0.3449077,-0.39634493,0.35484248,-0.3569788
163,0.40123683,-0.3174139,-0.41618532,-0.3566403,0.37641093,-0.42434135,-0.36853915,0.35479778,-0.3262545,-0.4094706,0.3305581,-0.42933786
164,0.34342992,-0.3481366,-0.36538807,-0.43832713,0.35461494,-0.39463657,-0.37345147,0.3706401,-0.3740592,-0.3905405,0.32359356,-0.40362734
166,0.40792507,-0.34160274,-0.40925995,-0.3829803,0.35116398,-0.36219528,-0.3509408,0.38397095,-0.31535065,-0.36937824,0.3976796,-0.3798859
170,0.3903392,-0.34950572,-0.33499056,-0.3781058,0.31969762,-0.38462687,-0.34106866,0.37708667,-0.39249462,-0.4033677,0.39837357,-0.3990067
186,0.36966246,-0.3894611,-0.38447863,-0.39746952,0.3405794,-0.38269192,-0.36128315,0.3599122,-0.35045367,-0.36131045,0.33796078,-0.42024717
209,0.34595564,-0.38540685,-0.32959262,-0.3753776,0.3919576,-0.3732982,-0.37720796,0.37899846,-0.3813535,-0.41333148,0.3706604,-0.3646407
